,2023,2024,2025,三年合計人次,全台佔比(%)
本國旅客,22500345.0,20522820.0,34848457.0,77871622.0,61.21
日本,2281728.0,3066063.0,5579839.0,10927630.0,8.59
美國,2292429.0,2642253.0,4962665.0,9897347.0,7.78
南韓,1328652.0,1548927.0,2665549.0,5543128.0,4.36
港澳,1207026.0,1217208.0,1858589.0,4282823.0,3.37
新加坡,869721.0,831639.0,1397540.0,3098900.0,2.44
歐洲地區,705375.0,686925.0,1322350.0,2714650.0,2.13
中國大陸,370962.0,652110.0,1225273.0,2248345.0,1.77
馬來西亞,398334.0,381381.0,650970.0,1430685.0,1.12
泰國,215952.0,250575.0,342975.0,809502.0,0.64
