year,city,hotel_name,total_rooms,rooms_used,occupancy_rate,avg_price,room_revenue,food_revenue,total_revenue,employees,individual_guests,group_guests,total_guests,domestic_guests,japan_guests,korea_guests,hk_mo_guests,usa_guests,domestic_ratio,international_ratio,individual_ratio,revpar,star_rank,star_rating,has_star
2023,新北市,福容大飯店    淡水漁人碼頭,2376,44736.0,61.90120381901204,5143.554698676681,230102063,228957167,495627235,151,57192,54656,111848,106662,439,277,656,2182,0.9536335026106859,0.04636649738931409,0.5113368142479079,3183.9222775702233,4.0,四星級,1
2023,新北市,大板根渡假酒店,1140,27717.0,79.93366979091564,6651.534834217267,184360591,183186184,562267733,228,41214,41937,83151,81870,24,51,591,171,0.9845942923115777,0.01540570768842231,0.4956524876429628,5316.81589041096,4.0,四星級,1
2023,新北市,板橋凱撒大飯店,4800,125879.0,86.21849315068492,3835.398819501267,482796168,124096145,608632301,137,237433,24851,262284,144834,10706,42629,21315,5061,0.5522029555748731,0.4477970444251269,0.9052515593783838,3306.82306849315,5.0,五星級,1
2023,新北市,瓏山林台北中和飯店,1512,21275.0,46.26005653402914,2490.01518213866,52975073,31033116,94599838,82,30789,11601,42390,23919,773,1472,2125,1599,0.5642604387827318,0.4357395612172682,0.7263269639065817,1151.8824309632528,3.0,三星級,1
2023,新北市,碧特弗大飯店,660,3454.0,17.20547945205479,2728.832368268674,9425387,2625504,12050894,18,2630,2609,5239,4434,23,19,30,49,0.8463447222752434,0.15365527772475662,0.5020041992746708,469.5086924034868,,無星等/未評鑑,0
2023,新北市,美麗春天大飯店,408,0.0,0.0,,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,無星等/未評鑑,0
2023,新北市,福容大飯店 福隆,2088,29607.0,46.61785545583373,5335.549903738981,157969626,89807411,274577767,114,48959,23109,72068,71229,65,48,167,165,0.988358217239274,0.011641782760726027,0.6793445079647,2487.3189418989136,3.0,三星級,1
2023,新北市,八里福朋喜來登酒店,2097,25136.0,39.22841625569636,4348.250954805856,109297636,120236077,230046876,155,37693,20651,58344,52288,402,267,524,2957,0.8962018373783079,0.10379816262169206,0.6460475798711093,1705.7499843935325,3.0,三星級,1
2023,台北市,圓山大飯店,5676,126262.0,73.13388745692026,3737.45104623719,471898044,878710670,1539462781,535,131510,125557,257067,164502,44083,8562,6338,11748,0.6399187760389314,0.36008122396106856,0.5115786934923581,2733.3432419125957,5.0,五星級,1
2023,台北市,雀客藏居台北陽明山,591,8881.0,49.41025926338044,4921.788875126675,43710407,26023184,80442759,32,16859,1599,18458,16030,129,137,789,271,0.8684581211398852,0.1315418788601148,0.9133708960884169,2431.8686435963054,3.0,三星級,1
2023,台北市,豪景大酒店,2234,30564.0,45.02452749583843,2312.584085852637,70681820,459780,82557292,36,30180,33215,63395,13028,8704,5303,6799,960,0.20550516602255697,0.794494833977443,0.4760627809764177,1041.2300575991044,3.0,三星級,1
2023,台北市,國王大飯店,1164,23477.0,66.30984324247987,1625.709076968948,38166772,8279399,46658193,47,7750,15727,23477,3041,19338,147,163,240,0.1295310303701495,0.8704689696298504,0.3301103207394471,1078.0051405168758,3.0,三星級,1
2023,台北市,台北凱撒大飯店,5736,149911.0,85.92365449647504,3157.359186450627,473322873,202716892,707682230,136,254844,38175,293019,80478,77130,35069,33602,10394,0.27465113183786716,0.7253488681621328,0.8697183459093096,2712.9183985785517,4.0,四星級,1
2023,台北市,兄弟大飯店,3000,54989.0,60.26191780821918,3578.218898325119,196762679,574587743,836811979,450,51606,31337,82943,38678,14374,2704,2809,5673,0.46632024402300376,0.5336797559769962,0.6221863207262819,2156.3033315068487,4.0,四星級,1
2023,台北市,三德大飯店,3444,40950.0,39.091212829936524,2043.856971916972,83695943,23074904,158839605,77,57182,4512,61694,15045,10606,4186,6506,4227,0.24386488151197847,0.7561351184880215,0.9268648490939151,798.9684788315594,3.0,三星級,1
2023,台北市,亞都麗緻大飯店,2628,40337.0,50.46225057859511,4598.497880357984,185489609,175554497,434720361,168,45235,7086,52321,17322,12652,1506,2783,4255,0.33107165382924636,0.6689283461707536,0.8645668087383651,2320.5055232376308,4.0,四星級,1
2023,台北市,國聯大飯店,2916,30535.0,34.42696882575117,2833.729130505977,86527919,3042628,99165193,76,21901,23013,44914,23901,2791,3769,2935,2511,0.5321503317451128,0.46784966825488716,0.4876207863917709,975.5670443655223,4.0,四星級,1
2023,台北市,台北寒舍喜來登大飯店,8256,176104.0,70.12742911755336,4524.117152364512,796715127,1458718958,2509653960,787,232716,63286,296002,102749,44161,15109,16041,53771,0.34712265457665825,0.6528773454233417,0.786197390558172,3172.6470492194967,5.0,五星級,1
