年份,旅館名稱,散客人數(FIT),團體客人數(Group),住客總人次,本國旅客,日本,美國,南韓,港澳,新加坡,馬來西亞,泰國,中國大陸,歐洲地區
2023,新北市,373532.0,142095.0,515627.0,385654.0,11571.0,10371.0,43224.0,23086.0,11608.0,6039.0,2138.0,3340.0,4521.0
2023,新北市,82378.0,37319.0,119697.0,99582.0,861.0,1813.0,1539.0,2322.0,880.0,893.0,261.0,1130.0,1150.0
2023,新北市,455910.0,179414.0,635324.0,485236.0,12432.0,12184.0,44763.0,25408.0,12488.0,6932.0,2399.0,4470.0,5671.0
2023,臺北市,2484495.0,581945.0,3066440.0,1120977.0,466007.0,457403.0,192318.0,200406.0,144170.0,52789.0,32501.0,53668.0,96483.0
2023,臺北市,805380.0,137846.0,943226.0,316533.0,118002.0,71644.0,93211.0,92706.0,64484.0,22948.0,15005.0,22098.0,20641.0
2023,臺北市,3289875.0,719791.0,4009666.0,1437510.0,584009.0,529047.0,285529.0,293112.0,208654.0,75737.0,47506.0,75766.0,117124.0
2023,桃園市,453634.0,83110.0,536744.0,344675.0,14127.0,25611.0,13337.0,8042.0,12130.0,9458.0,8298.0,3983.0,11396.0
2023,桃園市,205344.0,54649.0,259993.0,119686.0,10986.0,11288.0,22283.0,10601.0,6624.0,12997.0,636.0,4161.0,4950.0
2023,桃園市,658978.0,137759.0,796737.0,464361.0,25113.0,36899.0,35620.0,18643.0,18754.0,22455.0,8934.0,8144.0,16346.0
2023,臺中市,289649.0,84584.0,374233.0,281987.0,23230.0,10536.0,5405.0,5240.0,5850.0,3542.0,1393.0,3004.0,13336.0
2023,臺中市,166481.0,36036.0,202517.0,149379.0,11003.0,4531.0,3603.0,1938.0,1773.0,3725.0,618.0,2107.0,11180.0
2023,臺中市,456130.0,120620.0,576750.0,431366.0,34233.0,15067.0,9008.0,7178.0,7623.0,7267.0,2011.0,5111.0,24516.0
2023,臺南市,426527.0,96116.0,522643.0,412501.0,17394.0,27242.0,9192.0,5818.0,5889.0,2424.0,504.0,6261.0,18962.0
2023,臺南市,961.0,0.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,臺南市,427488.0,96116.0,523604.0,413462.0,17394.0,27242.0,9192.0,5818.0,5889.0,2424.0,504.0,6261.0,18962.0
2023,高雄市,906520.0,354768.0,1261288.0,1000645.0,57884.0,51760.0,29685.0,24396.0,9171.0,7274.0,6963.0,10756.0,20569.0
2023,高雄市,92627.0,53384.0,146011.0,121835.0,3030.0,2128.0,2910.0,2941.0,1509.0,1151.0,706.0,407.0,1265.0
2023,高雄市,999147.0,408152.0,1407299.0,1122480.0,60914.0,53888.0,32595.0,27337.0,10680.0,8425.0,7669.0,11163.0,21834.0
2023,宜蘭縣,486143.0,77765.0,563908.0,543257.0,775.0,3014.0,547.0,7482.0,4546.0,616.0,155.0,252.0,586.0
2023,宜蘭縣,110541.0,104146.0,214687.0,201634.0,37.0,119.0,3372.0,5761.0,1739.0,1633.0,76.0,48.0,47.0
2023,宜蘭縣,596684.0,181911.0,778595.0,744891.0,812.0,3133.0,3919.0,13243.0,6285.0,2249.0,231.0,300.0,633.0
2023,新竹縣,108295.0,23174.0,131469.0,68676.0,2805.0,27755.0,6421.0,579.0,4302.0,1669.0,275.0,2960.0,4202.0
2023,新竹縣,66772.0,14320.0,81092.0,41077.0,1794.0,17627.0,4063.0,374.0,2777.0,1091.0,160.0,1917.0,2657.0
2023,新竹縣,175067.0,37494.0,212561.0,109753.0,4599.0,45382.0,10484.0,953.0,7079.0,2760.0,435.0,4877.0,6859.0
2023,苗栗縣,77790.0,25117.0,102907.0,99219.0,560.0,218.0,310.0,468.0,219.0,119.0,6.0,395.0,781.0
2023,苗栗縣,77790.0,25117.0,102907.0,99219.0,560.0,218.0,310.0,468.0,219.0,119.0,6.0,395.0,781.0
2023,南投縣,134329.0,47996.0,182325.0,162628.0,1668.0,8835.0,214.0,1423.0,2014.0,446.0,875.0,729.0,1329.0
2023,南投縣,5676.0,5645.0,11321.0,9440.0,32.0,837.0,14.0,51.0,12.0,26.0,57.0,635.0,30.0
2023,南投縣,140005.0,53641.0,193646.0,172068.0,1700.0,9672.0,228.0,1474.0,2026.0,472.0,932.0,1364.0,1359.0
2023,嘉義縣,55675.0,37482.0,93157.0,89954.0,155.0,890.0,339.0,307.0,665.0,180.0,30.0,78.0,167.0
2023,嘉義縣,55675.0,37482.0,93157.0,89954.0,155.0,890.0,339.0,307.0,665.0,180.0,30.0,78.0,167.0
2023,屏東縣,280238.0,119507.0,399745.0,381367.0,1592.0,2923.0,3931.0,2557.0,545.0,368.0,61.0,802.0,3837.0
2023,屏東縣,68027.0,37458.0,105485.0,54029.0,12.0,212.0,33.0,694.0,0.0,4.0,0.0,174.0,87.0
2023,屏東縣,348265.0,156965.0,505230.0,435396.0,1604.0,3135.0,3964.0,3251.0,545.0,372.0,61.0,976.0,3924.0
2023,臺東縣,220408.0,36368.0,256776.0,247813.0,374.0,1122.0,59.0,773.0,163.0,151.0,3.0,128.0,1753.0
2023,臺東縣,62323.0,46548.0,108871.0,105256.0,158.0,1915.0,51.0,207.0,289.0,32.0,429.0,278.0,4.0
2023,臺東縣,282731.0,82916.0,365647.0,353069.0,532.0,3037.0,110.0,980.0,452.0,183.0,432.0,406.0,1757.0
2023,花蓮縣,450798.0,166944.0,617742.0,592531.0,1425.0,6978.0,878.0,2104.0,4065.0,873.0,363.0,927.0,4283.0
2023,花蓮縣,450798.0,166944.0,617742.0,592531.0,1425.0,6978.0,878.0,2104.0,4065.0,873.0,363.0,927.0,4283.0
2023,澎湖縣,97793.0,61277.0,159070.0,155561.0,146.0,965.0,46.0,104.0,61.0,30.0,5.0,133.0,67.0
2023,澎湖縣,7242.0,5740.0,12982.0,12703.0,73.0,26.0,3.0,64.0,28.0,38.0,0.0,10.0,20.0
2023,澎湖縣,105035.0,67017.0,172052.0,168264.0,219.0,991.0,49.0,168.0,89.0,68.0,5.0,143.0,87.0
2023,基隆市,66452.0,26328.0,92780.0,89015.0,568.0,573.0,233.0,496.0,677.0,178.0,125.0,119.0,312.0
2023,基隆市,66452.0,26328.0,92780.0,89015.0,568.0,573.0,233.0,496.0,677.0,178.0,125.0,119.0,312.0
2023,新竹市,145896.0,39045.0,184941.0,126827.0,12918.0,14664.0,5132.0,1205.0,2591.0,1984.0,217.0,2871.0,10274.0
2023,新竹市,145896.0,39045.0,184941.0,126827.0,12918.0,14664.0,5132.0,1205.0,2591.0,1984.0,217.0,2871.0,10274.0
2023,嘉義市,54352.0,66280.0,120632.0,115413.0,1172.0,971.0,468.0,103.0,1126.0,100.0,124.0,135.0,200.0
2023,嘉義市,19073.0,18288.0,37361.0,36518.0,217.0,172.0,63.0,94.0,0.0,0.0,0.0,148.0,36.0
2023,嘉義市,73425.0,84568.0,157993.0,151931.0,1389.0,1143.0,531.0,197.0,1126.0,100.0,124.0,283.0,236.0
2023,金門縣,1831.0,11013.0,12844.0,12782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,金門縣,1831.0,11013.0,12844.0,12782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,類別,,,,,,,,,,,,,
2023,福容大飯店    淡水漁人碼頭,57192.0,54656.0,111848.0,106662.0,439.0,2182.0,277.0,656.0,273.0,138.0,152.0,40.0,95.0
2023,大板根渡假酒店,41214.0,41937.0,83151.0,81870.0,24.0,171.0,51.0,591.0,189.0,45.0,15.0,66.0,33.0
2023,板橋凱撒大飯店,237433.0,24851.0,262284.0,144834.0,10706.0,5061.0,42629.0,21315.0,10931.0,5684.0,1971.0,2543.0,4384.0
2023,瓏山林台北中和飯店,30789.0,11601.0,42390.0,23919.0,773.0,1599.0,1472.0,2125.0,751.0,852.0,243.0,1099.0,921.0
2023,碧特弗大飯店,2630.0,2609.0,5239.0,4434.0,23.0,49.0,19.0,30.0,76.0,26.0,11.0,12.0,39.0
2023,美麗春天大飯店,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,福容大飯店 福隆,48959.0,23109.0,72068.0,71229.0,65.0,165.0,48.0,167.0,53.0,15.0,7.0,19.0,190.0
2023,八里福朋喜來登酒店,37693.0,20651.0,58344.0,52288.0,402.0,2957.0,267.0,524.0,215.0,172.0,0.0,691.0,9.0
2023,圓山大飯店,131510.0,125557.0,257067.0,164502.0,44083.0,11748.0,8562.0,6338.0,2625.0,1594.0,729.0,4353.0,3646.0
2023,雀客藏居台北陽明山,16859.0,1599.0,18458.0,16030.0,129.0,271.0,137.0,789.0,379.0,318.0,0.0,177.0,122.0
2023,豪景大酒店,30180.0,33215.0,63395.0,13028.0,8704.0,960.0,5303.0,6799.0,4147.0,4639.0,8391.0,949.0,740.0
2023,國王大飯店,7750.0,15727.0,23477.0,3041.0,19338.0,240.0,147.0,163.0,85.0,99.0,8.0,78.0,83.0
2023,台北凱撒大飯店,254844.0,38175.0,293019.0,80478.0,77130.0,10394.0,35069.0,33602.0,23841.0,5870.0,3488.0,1930.0,2855.0
2023,兄弟大飯店,51606.0,31337.0,82943.0,38678.0,14374.0,5673.0,2704.0,2809.0,2326.0,2212.0,822.0,1428.0,2239.0
2023,三德大飯店,57182.0,4512.0,61694.0,15045.0,10606.0,4227.0,4186.0,6506.0,1329.0,2116.0,1195.0,1296.0,1238.0
2023,亞都麗緻大飯店,45235.0,7086.0,52321.0,17322.0,12652.0,4255.0,1506.0,2783.0,2533.0,1642.0,298.0,736.0,3408.0
2023,國聯大飯店,21901.0,23013.0,44914.0,23901.0,2791.0,2511.0,3769.0,2935.0,1099.0,1044.0,400.0,2111.0,625.0
2023,台北寒舍喜來登大飯店,232716.0,63286.0,296002.0,102749.0,44161.0,53771.0,15109.0,16041.0,24960.0,5427.0,2838.0,6862.0,8547.0
2023,老爺大酒店,87829.0,4221.0,92050.0,21458.0,47670.0,5260.0,1449.0,3348.0,3198.0,1266.0,695.0,382.0,1429.0
2023,福華大飯店,235351.0,18128.0,253479.0,94690.0,25016.0,34162.0,22949.0,8515.0,7948.0,4755.0,2683.0,3109.0,22151.0
2023,台北君悅酒店,270908.0,69685.0,340593.0,126966.0,10971.0,103071.0,15145.0,10547.0,10863.0,2873.0,2299.0,7128.0,13700.0
2023,晶華酒店,243108.0,35423.0,278531.0,125547.0,56255.0,24691.0,21668.0,11229.0,8904.0,2439.0,2299.0,3844.0,8108.0
2023,台北遠東香格里拉,158199.0,25462.0,183661.0,43108.0,12498.0,47153.0,6908.0,17707.0,12880.0,3773.0,997.0,3819.0,6527.0
2023,美麗信花園酒店,84887.0,21774.0,106661.0,29312.0,27479.0,7211.0,11128.0,10564.0,3992.0,1591.0,594.0,1489.0,4841.0
2023,台北寒舍艾美酒店,61147.0,4703.0,65850.0,29249.0,1946.0,13684.0,734.0,5937.0,4765.0,1467.0,689.0,1622.0,1453.0
2023,台北W飯店,162109.0,19977.0,182086.0,42371.0,9738.0,52728.0,4386.0,19718.0,15140.0,4832.0,1832.0,6773.0,6322.0
2023,台北萬豪酒店,120211.0,25192.0,145403.0,46906.0,4427.0,54175.0,15342.0,5680.0,4119.0,2143.0,1005.0,2580.0,3027.0
2023,台北美福大飯店,60136.0,6114.0,66250.0,38270.0,3107.0,7497.0,8113.0,2940.0,1106.0,571.0,309.0,651.0,915.0
2023,JR東日本大飯店台北,150827.0,7759.0,158586.0,48326.0,32932.0,13721.0,8004.0,25456.0,7931.0,2118.0,930.0,2351.0,4507.0
2023,天成大飯店,131715.0,7734.0,139449.0,24735.0,31089.0,9168.0,21284.0,16026.0,16332.0,3581.0,3646.0,552.0,520.0
2023,第一大飯店,7477.0,50144.0,57621.0,13011.0,17635.0,1957.0,629.0,930.0,338.0,1197.0,820.0,936.0,835.0
2023,歐華酒店,24747.0,6992.0,31739.0,8936.0,9009.0,2239.0,1456.0,1751.0,851.0,461.0,195.0,558.0,3215.0
2023,福容大飯店  台北一館,35574.0,5607.0,41181.0,20293.0,2066.0,2084.0,1537.0,1937.0,753.0,583.0,142.0,741.0,1005.0
