飯店名稱,所在縣市,星等評鑑
台北美福大飯店,台北市,卓越五星
日月潭力麗溫德姆溫泉酒店,南投縣,五星級
涵碧樓大飯店,南投縣,五星級
雲品溫泉酒店日月潭,南投縣,五星級
全國大飯店,台中市,五星級
台中福華大飯店,台中市,五星級
台中金典酒店,台中市,五星級
裕元花園酒店,台中市,五星級
長榮桂冠酒店(台中),台中市,五星級
台北W飯店,台北市,五星級
台北君品大酒店,台北市,五星級
台北君悅酒店,台北市,五星級
台北寒舍喜來登大飯店,台北市,五星級
台北寒舍艾美酒店,台北市,五星級
台北漢來大飯店,台北市,五星級
台北艾麗酒店,台北市,五星級
台北萬豪酒店,台北市,五星級
台北遠東香格里拉,台北市,五星級
圓山大飯店,台北市,五星級
晶華酒店,台北市,五星級
福華大飯店,台北市,五星級
老爺大酒店,台北市,五星級
台南大員皇冠假日酒店,台南市,五星級
台南遠東香格里拉,台南市,五星級
台糖長榮酒店(台南),台南市,五星級
台東桂田喜來登酒店,台東縣,五星級
娜路彎大酒店,台東縣,五星級
知本老爺大酒店,台東縣,五星級
耐斯王子大飯店,嘉義市,五星級
長榮桂冠酒店(基隆),基隆市,五星級
礁溪老爺酒店,宜蘭縣,五星級
蘭城晶英酒店,宜蘭縣,五星級
長榮鳳凰酒店(礁溪),宜蘭縣,五星級
凱撒大飯店,屏東縣,五星級
墾丁福華渡假飯店,屏東縣,五星級
板橋凱撒大飯店,新北市,五星級
澎湖福朋喜來登酒店,澎湖縣,五星級
太魯閣晶英酒店,花蓮縣,五星級
瑞穗天合國際觀光酒店,花蓮縣,五星級
美侖大飯店,花蓮縣,五星級
遠雄悅來大飯店,花蓮縣,五星級
寒軒國際大飯店,高雄市,五星級
漢來大飯店,高雄市,五星級
高雄國賓大飯店,高雄市,五星級
高雄圓山大飯店,高雄市,五星級
高雄福華大飯店,高雄市,五星級
高雄萬豪酒店,高雄市,五星級
JR東日本大飯店台北,台北市,四星級
亞都麗緻大飯店,台北市,四星級
兄弟大飯店,台北市,四星級
北投老爺酒店,台北市,四星級
北投麗禧溫泉酒店,台北市,四星級
台北凱撒大飯店,台北市,四星級
台北花園大酒店,台北市,四星級
國聯大飯店,台北市,四星級
天成大飯店,台北市,四星級
歐華酒店,台北市,四星級
福容大飯店  台北一館,台北市,四星級
第一大飯店,台北市,四星級
阿里山賓館(歷史館),嘉義縣,四星級
阿里山賓館(現代館),嘉義縣,四星級
悅川酒店,宜蘭縣,四星級
綠舞國際觀光飯店,宜蘭縣,四星級
大板根渡假酒店,新北市,四星級
福容大飯店    淡水漁人碼頭,新北市,四星級
新竹國賓大飯店,新竹市,四星級
新竹老爺大酒店,新竹市,四星級
新竹喜來登大飯店,新竹縣,四星級
豐邑喜來登大飯店,新竹縣,四星級
南方莊園渡假飯店,桃園市,四星級
台北諾富特華航桃園機場飯店,桃園市,四星級
和逸飯店桃園青埔館,桃園市,四星級
桃園喜來登酒店,桃園市,四星級
晶英國際行館,高雄市,四星級
義大皇家酒店,高雄市,四星級
台中港酒店,台中市,三星級
通豪大飯店,台中市,三星級
三德大飯店,台北市,三星級
國王大飯店,台北市,三星級
豪景大酒店,台北市,三星級
雀客藏居台北陽明山,台北市,三星級
台南大飯店,台南市,三星級
趣淘漫旅,台南市,三星級
鈺通大飯店,嘉義市,三星級
名都觀光渡假大飯店,嘉義縣,三星級
山泉大飯店,宜蘭縣,三星級
幼獅大飯店,宜蘭縣,三星級
墾丁怡灣渡假酒店,屏東縣,三星級
八里福朋喜來登酒店,新北市,三星級
瓏山林台北中和飯店,新北市,三星級
福容大飯店 福隆,新北市,三星級
古華花園飯店,桃園市,三星級
尊爵大飯店,桃園市,三星級
尊爵天際大飯店,桃園市,三星級
福容大飯店   桃園,桃園市,三星級
馥藝金鬱金香酒店,苗栗縣,三星級
福容大飯店 高雄,高雄市,三星級
麗尊大酒店,高雄市,三星級
漢來日月行館,南投縣,無星等/未評鑑
龍谷大飯店,台中市,無星等/未評鑑
台北中山雅樂軒酒店,台北市,無星等/未評鑑
台北敦化美憬閣酒店,台北市,無星等/未評鑑
合尊酒店 S Hotel,台北市,無星等/未評鑑
日勝生加賀屋國際溫泉飯店,台北市,無星等/未評鑑
漢普頓酒店,台北市,無星等/未評鑑
美麗信花園酒店,台北市,無星等/未評鑑
義華酒店,台北市,無星等/未評鑑
雀客旅館台北南京,台北市,無星等/未評鑑
遠百企業觀光旅館,台南市,無星等/未評鑑
樂樂日暉溫泉酒店,台東縣,無星等/未評鑑
凱渡廣場酒店,宜蘭縣,無星等/未評鑑
礁溪麒麟酒店,宜蘭縣,無星等/未評鑑
碧特弗大飯店,新北市,無星等/未評鑑
美麗春天大飯店,新北市,無星等/未評鑑
一般Standard,未知,無星等/未評鑑
國際Internation,未知,無星等/未評鑑
小計SubTotal,未知,無星等/未評鑑
名人堂花園大飯店,桃園市,無星等/未評鑑
桃園國際機場凱悅酒店,桃園市,無星等/未評鑑
福容徠旅 林口,桃園市,無星等/未評鑑
寶華大飯店,澎湖縣,無星等/未評鑑
東旭觀海酒店,花蓮縣,無星等/未評鑑
花蓮翰品酒店,花蓮縣,無星等/未評鑑
陸島酒店,金門縣,無星等/未評鑑
承攜行旅 高雄六合館,高雄市,無星等/未評鑑
然一酒店,高雄市,無星等/未評鑑
