date,official_weekday,official_day_status,holiday_note,year,month,day,weekday,is_weekend,is_day_off,is_weekday_day_off,is_makeup_workday,is_spring_festival_day,off_run_id,off_run_length,is_long_break_day
2023-01-01,日,2,開國紀念日,2023,1,1,6,1,1,0,0,0,1,2,0
2023-01-02,一,2,補假,2023,1,2,0,0,1,1,0,0,1,2,0
2023-01-03,二,0,,2023,1,3,1,0,0,0,0,0,2,0,0
2023-01-04,三,0,,2023,1,4,2,0,0,0,0,0,2,0,0
2023-01-05,四,0,,2023,1,5,3,0,0,0,0,0,2,0,0
2023-01-06,五,0,,2023,1,6,4,0,0,0,0,0,2,0,0
2023-01-07,六,0,補行上班,2023,1,7,5,1,0,0,1,0,2,0,0
2023-01-08,日,2,,2023,1,8,6,1,1,0,0,0,3,1,0
2023-01-09,一,0,,2023,1,9,0,0,0,0,0,0,4,0,0
2023-01-10,二,0,,2023,1,10,1,0,0,0,0,0,4,0,0
2023-01-11,三,0,,2023,1,11,2,0,0,0,0,0,4,0,0
2023-01-12,四,0,,2023,1,12,3,0,0,0,0,0,4,0,0
2023-01-13,五,0,,2023,1,13,4,0,0,0,0,0,4,0,0
2023-01-14,六,2,,2023,1,14,5,1,1,0,0,0,5,2,0
2023-01-15,日,2,,2023,1,15,6,1,1,0,0,0,5,2,0
2023-01-16,一,0,,2023,1,16,0,0,0,0,0,0,6,0,0
2023-01-17,二,0,,2023,1,17,1,0,0,0,0,0,6,0,0
2023-01-18,三,0,,2023,1,18,2,0,0,0,0,0,6,0,0
2023-01-19,四,0,,2023,1,19,3,0,0,0,0,0,6,0,0
2023-01-20,五,2,小年夜,2023,1,20,4,0,1,1,0,1,7,10,1
2023-01-21,六,2,農曆除夕,2023,1,21,5,1,1,0,0,1,7,10,1
2023-01-22,日,2,春節,2023,1,22,6,1,1,0,0,1,7,10,1
2023-01-23,一,2,春節,2023,1,23,0,0,1,1,0,1,7,10,1
2023-01-24,二,2,春節,2023,1,24,1,0,1,1,0,1,7,10,1
2023-01-25,三,2,補假,2023,1,25,2,0,1,1,0,0,7,10,1
2023-01-26,四,2,補假,2023,1,26,3,0,1,1,0,0,7,10,1
