feature,importance
num__occupancy_lag_1,0.7594961707525892
num__occupancy_roll3,0.1299753647059815
num__occupancy_lag_12,0.03382464674601142
num__month,0.012763188319735282
num__employees,0.010199459920417783
num__occupancy_lag_3,0.00634119126146811
num__individual_ratio,0.0061541903949052295
num__avg_price,0.006118260880381615
num__total_rooms,0.005878165593401552
num__international_ratio,0.0053262368977799925
num__domestic_ratio,0.005077442964751213
num__occupancy_lag_2,0.004696090122243018
num__month_cos,0.0031021694943816104
num__month_sin,0.002286511428411497
cat__city_花蓮縣,0.0014115328290823796
cat__city_澎湖縣,0.001174018012618832
cat__star_rating_無星等/未評鑑,0.0008475623919873191
cat__city_台東縣,0.0007931439738675531
cat__city_南投縣,0.0006237686931585143
cat__city_宜蘭縣,0.0005184985127424515
cat__city_台北市,0.00047974582827110134
cat__city_新北市,0.0004325275327983443
cat__city_嘉義縣,0.0003844547855171408
cat__star_rating_四星級,0.0003484654990904756
cat__star_rating_三星級,0.00031276898380993537
cat__city_台中市,0.0002768288184553211
cat__city_桃園市,0.0002738820372283633
cat__city_台南市,0.00020055014798351107
cat__star_rating_五星級,0.00019173606252169946
cat__city_高雄市,0.00012619761470607796
cat__city_新竹縣,9.830216071774275e-05
cat__city_屏東縣,6.061390917628292e-05
cat__city_金門縣,5.463885705644593e-05
cat__city_基隆市,4.629566535940274e-05
cat__city_嘉義市,3.696005772904187e-05
cat__city_新竹市,3.5748165278044056e-05
cat__star_rating_卓越五星,1.7564101704811443e-05
cat__city_苗栗縣,1.5105876680159369e-05
