feature,importance
num__occupancy_lag_1,0.6062235781868982
num__occupancy_roll3,0.30134027317101525
num__occupancy_lag_12,0.03237413250975228
num__month,0.022184006002999808
num__month_sin,0.006307003767151314
num__occupancy_lag_2,0.0032855649569268363
num__input_employees,0.0032544294173747594
cat__star_rating_無星等/未評鑑,0.003120547572001035
num__input_international_ratio,0.002609514507697262
num__input_domestic_ratio,0.0025183419607528856
num__month_cos,0.002451904135809143
num__occupancy_lag_3,0.002428779016952154
num__input_individual_ratio,0.0021820903504933863
num__input_avg_price,0.0018845069091371282
num__input_total_rooms,0.0018788365331358456
cat__city_澎湖縣,0.0017784372857867934
cat__city_花蓮縣,0.0011617238932783948
cat__star_rating_五星級,0.0009210526762707306
cat__city_台北市,0.0007162976203458946
cat__city_金門縣,0.0006346262078174712
cat__city_台東縣,0.00023025388661180815
cat__city_台南市,0.00016255574254494704
cat__city_南投縣,0.0001065966296100646
cat__city_桃園市,7.347706210104702e-05
cat__city_宜蘭縣,5.871593479959653e-05
cat__city_台中市,4.643820393834889e-05
cat__city_嘉義縣,3.654444853378637e-05
cat__city_基隆市,2.977141026402593e-05
cat__city_嘉義市,0.0
cat__city_新竹市,0.0
cat__city_新竹縣,0.0
cat__city_屏東縣,0.0
cat__city_新北市,0.0
cat__city_苗栗縣,0.0
cat__star_rating_三星級,0.0
cat__city_高雄市,0.0
cat__star_rating_卓越五星,0.0
cat__star_rating_四星級,0.0
