feature,importance
num__occupancy_lag_1,0.6246577973112569
num__occupancy_roll3,0.28008128906443647
num__occupancy_lag_12,0.039797534460681995
num__month,0.020770620850894487
num__month_sin,0.006096338237760023
num__occupancy_lag_2,0.004929482363948491
num__input_domestic_ratio,0.0030985424720456674
num__input_international_ratio,0.0030331401242952925
num__input_employees,0.0023056762805312046
num__input_avg_price,0.0020881192264311284
cat__star_rating_無星等/未評鑑,0.0018320346562722214
num__occupancy_lag_3,0.0014517356068534035
num__input_individual_ratio,0.0013231245849017552
cat__city_澎湖縣,0.001309199895913046
num__month_cos,0.0012285812008176623
num__input_total_rooms,0.0011325089489798857
cat__city_台東縣,0.0009837684340508318
cat__city_台北市,0.0008936116176711705
cat__star_rating_五星級,0.0008264080726774056
cat__city_花蓮縣,0.0007055533162603405
cat__city_嘉義縣,0.0005644851485870287
cat__city_金門縣,0.000533532122948229
cat__city_南投縣,9.506664929289071e-05
cat__city_台南市,8.922160990385355e-05
cat__star_rating_三星級,7.534959204601376e-05
cat__star_rating_四星級,5.454208470931341e-05
cat__city_台中市,4.272984032173996e-05
cat__city_宜蘭縣,6.225511540327047e-09
cat__city_基隆市,0.0
cat__city_嘉義市,0.0
cat__city_新竹縣,0.0
cat__city_桃園市,0.0
cat__city_新北市,0.0
cat__city_新竹市,0.0
cat__city_屏東縣,0.0
cat__city_苗栗縣,0.0
cat__city_高雄市,0.0
cat__star_rating_卓越五星,0.0
