feature,importance
num__occupancy_lag_1,0.62022723234837
num__occupancy_roll3,0.2774657577584379
num__occupancy_lag_12,0.03892001167945223
num__month,0.019486182268678803
num__month_sin,0.004577445725825888
num__input_domestic_ratio,0.0037787566623013174
num__occupancy_lag_2,0.0033169242044517647
num__input_international_ratio,0.0030842723557115113
num__weekend_days,0.0030147342004717727
num__input_avg_price,0.002422045760441919
num__day_off_ratio,0.002263134410148541
num__input_employees,0.002254450378877544
cat__star_rating_無星等/未評鑑,0.0016916226439491744
num__month_cos,0.001586208151489988
num__long_break_day_count,0.0015625384870354931
num__input_individual_ratio,0.0013555337981662962
num__weekday_day_off_days,0.0013439336039076006
num__day_off_days,0.0012991454536516406
num__input_total_rooms,0.0012942844362467962
cat__city_澎湖縣,0.0012742750645853306
cat__star_rating_五星級,0.001051620152642617
num__makeup_workdays,0.001009805255752347
num__longest_break_days,0.0009485220626931928
cat__city_台東縣,0.0008151182062490453
cat__city_台北市,0.0007828104165255132
num__occupancy_lag_3,0.0007450424895472336
cat__city_金門縣,0.0004617245647947182
num__long_weekend_count,0.0003941032840239509
cat__city_嘉義縣,0.00034391021583373126
cat__city_花蓮縣,0.00028462563452023425
cat__star_rating_四星級,0.00025330845359852923
num__has_spring_festival,0.0001787512452486485
num__is_year_end_month,0.00010712009978915259
cat__city_屏東縣,9.648547361489705e-05
cat__city_台南市,9.033059879265113e-05
num__days_in_month,8.165417870492063e-05
cat__city_南投縣,4.8944945627391574e-05
num__is_summer_month,3.9333664107385205e-05
cat__city_基隆市,2.0891132468769966e-05
cat__city_台中市,1.763223359956515e-05
cat__city_新竹市,9.776299663766932e-06
cat__city_嘉義市,0.0
num__spring_festival_days,0.0
cat__city_新竹縣,0.0
cat__city_桃園市,0.0
cat__city_宜蘭縣,0.0
cat__city_新北市,0.0
cat__star_rating_三星級,0.0
cat__city_高雄市,0.0
cat__city_苗栗縣,0.0
cat__star_rating_卓越五星,0.0
