date,year,month,horizon,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-01-01,2026,1,1,屏東縣,墾丁福華渡假飯店,34.98,34.85241560205342,-0.1275843979465776,0.1275843979465776
2026-01-01,2026,1,1,新北市,八里福朋喜來登酒店,26.62,45.450157555014094,18.830157555014093,18.830157555014093
2026-01-01,2026,1,1,新北市,大板根渡假酒店,78.61,72.66526889713697,-5.944731102863031,5.944731102863031
2026-01-01,2026,1,1,新北市,板橋凱撒大飯店,90.16,84.32791986747837,-5.832080132521625,5.832080132521625
2026-01-01,2026,1,1,新北市,瓏山林台北中和飯店,55.91,59.087493802591574,3.1774938025915773,3.1774938025915773
2026-01-01,2026,1,1,新北市,福容大飯店    淡水漁人碼頭,53.16,51.30069271886352,-1.8593072811364735,1.8593072811364735
2026-01-01,2026,1,1,新北市,福容大飯店 福隆,14.26,31.632866124304023,17.372866124304025,17.372866124304025
2026-01-01,2026,1,1,新北市,美麗春天大飯店,1.71,0.0,-1.71,1.71
2026-01-01,2026,1,1,新竹市,新竹國賓大飯店,58.5,59.17032016585654,0.6703201658565376,0.6703201658565376
2026-01-01,2026,1,1,屏東縣,墾丁怡灣渡假酒店,35.98,42.08140044328657,6.101400443286572,6.101400443286572
2026-01-01,2026,1,1,新北市,碧特弗大飯店,15.37,11.159758655624806,-4.210241344375193,4.210241344375193
2026-01-01,2026,1,1,屏東縣,凱撒大飯店,56.61999999999999,56.02000814458164,-0.5999918554183523,0.5999918554183523
2026-01-01,2026,1,1,嘉義市,鈺通大飯店,44.38,40.31956686408454,-4.06043313591546,4.06043313591546
2026-01-01,2026,1,1,宜蘭縣,蘭城晶英酒店,46.9,67.1623014120997,20.262301412099696,20.262301412099696
2026-01-01,2026,1,1,宜蘭縣,綠舞國際觀光飯店,33.36,54.40688810377834,21.046888103778343,21.046888103778343
2026-01-01,2026,1,1,宜蘭縣,礁溪麒麟酒店,79.12,72.09174055165032,-7.0282594483496865,7.0282594483496865
2026-01-01,2026,1,1,宜蘭縣,礁溪老爺酒店,76.88,78.5233759968413,1.6433759968413,1.6433759968413
2026-01-01,2026,1,1,宜蘭縣,悅川酒店,67.9,71.08292473849721,3.1829247384972064,3.1829247384972064
2026-01-01,2026,1,1,宜蘭縣,幼獅大飯店,7.429999999999999,10.835158360799715,3.4051583607997165,3.4051583607997165
2026-01-01,2026,1,1,宜蘭縣,山泉大飯店,73.02,66.91561506269201,-6.104384937307984,6.104384937307984
2026-01-01,2026,1,1,宜蘭縣,凱渡廣場酒店,21.48,28.38260386780947,6.902603867809468,6.902603867809468
