date,year,month,horizon,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-01-01,2026,1,1,屏東縣,墾丁福華渡假飯店,34.98,35.049344499133966,0.0693444991339689,0.0693444991339689
2026-01-01,2026,1,1,新北市,八里福朋喜來登酒店,26.62,45.25336904999202,18.633369049992016,18.633369049992016
2026-01-01,2026,1,1,新北市,大板根渡假酒店,78.61,73.12124323271539,-5.488756767284613,5.488756767284613
2026-01-01,2026,1,1,新北市,板橋凱撒大飯店,90.16,83.99989118832357,-6.160108811676423,6.160108811676423
2026-01-01,2026,1,1,新北市,瓏山林台北中和飯店,55.91,59.08844528678013,3.178445286780132,3.178445286780132
2026-01-01,2026,1,1,新北市,福容大飯店    淡水漁人碼頭,53.16,51.71483901249359,-1.445160987506405,1.445160987506405
2026-01-01,2026,1,1,新北市,福容大飯店 福隆,14.26,31.891795335881838,17.63179533588184,17.63179533588184
2026-01-01,2026,1,1,新北市,美麗春天大飯店,1.71,0.0,-1.71,1.71
2026-01-01,2026,1,1,新竹市,新竹國賓大飯店,58.5,59.248546737516584,0.748546737516584,0.748546737516584
2026-01-01,2026,1,1,屏東縣,墾丁怡灣渡假酒店,35.98,42.19428675753515,6.214286757535156,6.214286757535156
2026-01-01,2026,1,1,新北市,碧特弗大飯店,15.37,10.456596071033642,-4.913403928966357,4.913403928966357
2026-01-01,2026,1,1,屏東縣,凱撒大飯店,56.61999999999999,56.23563349940585,-0.38436650059414035,0.38436650059414035
2026-01-01,2026,1,1,嘉義市,鈺通大飯店,44.38,40.695586149827186,-3.6844138501728168,3.6844138501728168
2026-01-01,2026,1,1,宜蘭縣,蘭城晶英酒店,46.9,67.39227094058488,20.49227094058488,20.49227094058488
2026-01-01,2026,1,1,宜蘭縣,綠舞國際觀光飯店,33.36,54.99998142263896,21.63998142263896,21.63998142263896
2026-01-01,2026,1,1,宜蘭縣,礁溪麒麟酒店,79.12,73.88050814985854,-5.239491850141462,5.239491850141462
2026-01-01,2026,1,1,宜蘭縣,礁溪老爺酒店,76.88,78.74124186132252,1.861241861322526,1.861241861322526
2026-01-01,2026,1,1,宜蘭縣,悅川酒店,67.9,71.28453444550802,3.3845344455080095,3.3845344455080095
2026-01-01,2026,1,1,宜蘭縣,幼獅大飯店,7.429999999999999,11.44942506205995,4.019425062059951,4.019425062059951
2026-01-01,2026,1,1,宜蘭縣,山泉大飯店,73.02,66.70153292296801,-6.318467077031983,6.318467077031983
2026-01-01,2026,1,1,宜蘭縣,凱渡廣場酒店,21.48,27.857080913785857,6.377080913785857,6.377080913785857
2026-01-01,2026,1,1,基隆市,長榮桂冠酒店(基隆),75.44,78.46866737687667,3.028667376876669,3.028667376876669
2026-01-01,2026,1,1,嘉義縣,阿里山賓館(現代館),27.23,61.7068594474767,34.4768594474767,34.4768594474767
2026-01-01,2026,1,1,嘉義縣,阿里山賓館(歷史館),30.510000000000005,36.10619115596946,5.596191155969457,5.596191155969457
2026-01-01,2026,1,1,嘉義縣,名都觀光渡假大飯店,8.05,21.13856319236618,13.08856319236618,13.08856319236618
2026-01-01,2026,1,1,宜蘭縣,長榮鳳凰酒店(礁溪),61.96,66.00948295617839,4.049482956178387,4.049482956178387
2026-01-01,2026,1,1,新竹市,新竹老爺大酒店,70.24,66.16643466368818,-4.073565336311816,4.073565336311816
2026-01-01,2026,1,1,高雄市,高雄福華大飯店,78.5,80.6426244400607,2.1426244400607004,2.1426244400607004
2026-01-01,2026,1,1,新竹縣,豐邑喜來登大飯店,51.59,47.41120934097362,-4.178790659026383,4.178790659026383
2026-01-01,2026,1,1,嘉義市,耐斯王子大飯店,41.17,46.949395122810095,5.779395122810094,5.779395122810094
2026-01-01,2026,1,1,高雄市,高雄圓山大飯店,62.7,69.35067005535105,6.650670055351043,6.650670055351043
2026-01-01,2026,1,1,高雄市,義大皇家酒店,42.73,46.79101969602121,4.061019696021212,4.061019696021212
2026-01-01,2026,1,1,高雄市,福容大飯店 高雄,57.43000000000001,59.33860294177292,1.9086029417729122,1.9086029417729122
2026-01-01,2026,1,1,高雄市,然一酒店,61.75000000000001,51.37494682371649,-10.375053176283515,10.375053176283515
2026-01-01,2026,1,1,高雄市,漢來大飯店,71.67,75.55878251410094,3.8887825141009387,3.8887825141009387
2026-01-01,2026,1,1,高雄市,寒軒國際大飯店,66.77,73.95798137027556,7.1879813702755655,7.1879813702755655
2026-01-01,2026,1,1,金門縣,陸島酒店,30.47,37.680288724656656,7.210288724656657,7.210288724656657
2026-01-01,2026,1,1,苗栗縣,馥藝金鬱金香酒店,56.63,51.196531068867095,-5.433468931132907,5.433468931132907
2026-01-01,2026,1,1,花蓮縣,遠雄悅來大飯店,33.4,30.73738724653502,-2.662612753464977,2.662612753464977
2026-01-01,2026,1,1,花蓮縣,美侖大飯店,44.83,38.19461051409826,-6.63538948590174,6.63538948590174
2026-01-01,2026,1,1,新竹縣,新竹喜來登大飯店,76.98,70.16114547414502,-6.818854525854988,6.818854525854988
2026-01-01,2026,1,1,花蓮縣,瑞穗天合國際觀光酒店,43.56,47.34859614578654,3.788596145786535,3.788596145786535
2026-01-01,2026,1,1,澎湖縣,澎湖福朋喜來登酒店,20.48,27.362012965840567,6.882012965840566,6.882012965840566
2026-01-01,2026,1,1,澎湖縣,寶華大飯店,4.32,3.3616833468878218,-0.9583166531121785,0.9583166531121785
2026-01-01,2026,1,1,桃園市,福容徠旅 林口,79.61,83.01077499423171,3.4007749942317105,3.4007749942317105
2026-01-01,2026,1,1,桃園市,福容大飯店   桃園,62.74000000000001,60.808505247476056,-1.9314947525239532,1.9314947525239532
2026-01-01,2026,1,1,桃園市,桃園國際機場凱悅酒店,63.91,59.36674120463809,-4.543258795361908,4.543258795361908
2026-01-01,2026,1,1,桃園市,桃園喜來登酒店,58.82000000000001,53.68506498804688,-5.134935011953125,5.134935011953125
2026-01-01,2026,1,1,桃園市,尊爵天際大飯店,89.2,80.02301010979261,-9.176989890207395,9.176989890207395
2026-01-01,2026,1,1,桃園市,尊爵大飯店,66.56,64.62751506799317,-1.9324849320068296,1.9324849320068296
2026-01-01,2026,1,1,桃園市,和逸飯店桃園青埔館,74.99,75.52250642436432,0.5325064243643283,0.5325064243643283
