date,year,month,city,hotel_name,actual_occupancy,predicted_occupancy,error,absolute_error
2026-01-01,2026,1,台北市,JR東日本大飯店台北,81.83,82.64255099368094,0.8125509936809436,0.8125509936809436
2026-02-01,2026,2,台北市,JR東日本大飯店台北,66.96,84.24362890714849,17.283628907148497,17.283628907148497
2026-03-01,2026,3,台北市,JR東日本大飯店台北,84.44,78.09968599719764,-6.340314002802359,6.340314002802359
2026-04-01,2026,4,台北市,JR東日本大飯店台北,83.77,83.09980664210079,-0.6701933578992083,0.6701933578992083
2026-05-01,2026,5,台北市,JR東日本大飯店台北,80.35,80.18666642902146,-0.16333357097853707,0.16333357097853707
2026-06-01,2026,6,台北市,JR東日本大飯店台北,84.54,80.00232170798884,-4.537678292011165,4.537678292011165
2026-01-01,2026,1,台北市,三德大飯店,54.22,53.43480372341324,-0.7851962765867597,0.7851962765867597
2026-02-01,2026,2,台北市,三德大飯店,56.8,59.190795981260194,2.3907959812601973,2.3907959812601973
2026-03-01,2026,3,台北市,三德大飯店,76.16,59.74204075350747,-16.41795924649253,16.41795924649253
2026-04-01,2026,4,台北市,三德大飯店,62.18,67.19985192735912,5.01985192735912,5.01985192735912
2026-05-01,2026,5,台北市,三德大飯店,57.69,59.44287550539518,1.7528755053951812,1.7528755053951812
2026-06-01,2026,6,台北市,三德大飯店,48.06,60.44924811443484,12.389248114434835,12.389248114434835
2026-01-01,2026,1,台北市,亞都麗緻大飯店,58.10999999999999,67.20867958049126,9.098679580491272,9.098679580491272
2026-02-01,2026,2,台北市,亞都麗緻大飯店,59.870000000000005,63.40867263189188,3.5386726318918775,3.5386726318918775
2026-03-01,2026,3,台北市,亞都麗緻大飯店,79.13,67.58980084096004,-11.540199159039958,11.540199159039958
2026-04-01,2026,4,台北市,亞都麗緻大飯店,68.26,70.69130864048606,2.4313086404860513,2.4313086404860513
2026-05-01,2026,5,台北市,亞都麗緻大飯店,60.83,66.28722954737171,5.4572295473717105,5.4572295473717105
2026-06-01,2026,6,台北市,亞都麗緻大飯店,66.04,58.58958828832227,-7.450411711677738,7.450411711677738
2026-01-01,2026,1,台北市,兄弟大飯店,48.54,63.25812538590227,14.718125385902269,14.718125385902269
2026-02-01,2026,2,台北市,兄弟大飯店,48.09,58.56220860432249,10.47220860432249,10.47220860432249
2026-03-01,2026,3,台北市,兄弟大飯店,69.25,58.47570509390509,-10.774294906094909,10.774294906094909
2026-04-01,2026,4,台北市,兄弟大飯店,62.74999999999999,63.080374901713405,0.33037490171341233,0.33037490171341233
2026-05-01,2026,5,台北市,兄弟大飯店,56.720000000000006,59.17334796291526,2.4533479629152524,2.4533479629152524
2026-06-01,2026,6,台北市,兄弟大飯店,63.07000000000001,58.19155038687022,-4.8784496131297885,4.8784496131297885
2026-01-01,2026,1,台中市,全國大飯店,49.67,51.58089179468518,1.9108917946851776,1.9108917946851776
2026-02-01,2026,2,台中市,全國大飯店,51.52,51.67703916810105,0.15703916810104346,0.15703916810104346
2026-03-01,2026,3,台中市,全國大飯店,53.75,53.70715808184566,-0.04284191815433758,0.04284191815433758
2026-04-01,2026,4,台中市,全國大飯店,51.57000000000001,51.920862236845345,0.35086223684533735,0.35086223684533735
2026-05-01,2026,5,台中市,全國大飯店,49.53,51.12615887002767,1.596158870027672,1.596158870027672
2026-06-01,2026,6,台中市,全國大飯店,52.23,50.82422462575012,-1.4057753742498775,1.4057753742498775
2026-01-01,2026,1,新北市,八里福朋喜來登酒店,26.62,45.25336904999202,18.633369049992016,18.633369049992016
2026-02-01,2026,2,新北市,八里福朋喜來登酒店,27.860000000000003,35.40505776520722,7.545057765207215,7.545057765207215
2026-03-01,2026,3,新北市,八里福朋喜來登酒店,30.260000000000005,36.25753327556615,5.997533275566148,5.997533275566148
2026-04-01,2026,4,新北市,八里福朋喜來登酒店,28.78,38.6042865186942,9.824286518694201,9.824286518694201
2026-05-01,2026,5,新北市,八里福朋喜來登酒店,28.08,33.77012494151355,5.690124941513552,5.690124941513552
2026-06-01,2026,6,新北市,八里福朋喜來登酒店,32.85,31.63172962114045,-1.2182703788595504,1.2182703788595504
2026-01-01,2026,1,屏東縣,凱撒大飯店,56.61999999999999,56.23563349940585,-0.38436650059414035,0.38436650059414035
2026-02-01,2026,2,屏東縣,凱撒大飯店,72.93,55.93732130033381,-16.9926786996662,16.9926786996662
2026-03-01,2026,3,屏東縣,凱撒大飯店,62.0,70.6854016439117,8.685401643911703,8.685401643911703
2026-04-01,2026,4,屏東縣,凱撒大飯店,80.01,66.20145791115229,-13.808542088847716,13.808542088847716
2026-05-01,2026,5,屏東縣,凱撒大飯店,80.13,74.68311108404995,-5.446888915950041,5.446888915950041
2026-06-01,2026,6,屏東縣,凱撒大飯店,79.55,77.4560328002356,-2.0939671997643927,2.0939671997643927
2026-01-01,2026,1,宜蘭縣,凱渡廣場酒店,21.48,27.857080913785857,6.377080913785857,6.377080913785857
2026-02-01,2026,2,宜蘭縣,凱渡廣場酒店,33.42,28.180129708823454,-5.239870291176548,5.239870291176548
2026-03-01,2026,3,宜蘭縣,凱渡廣場酒店,24.48,34.15526838247437,9.675268382474368,9.675268382474368
2026-04-01,2026,4,宜蘭縣,凱渡廣場酒店,33.12,28.59191109730212,-4.528088902697878,4.528088902697878
2026-05-01,2026,5,宜蘭縣,凱渡廣場酒店,42.73,34.08064877862619,-8.649351221373806,8.649351221373806
2026-06-01,2026,6,宜蘭縣,凱渡廣場酒店,52.22,42.39837196381143,-9.82162803618857,9.82162803618857
2026-01-01,2026,1,台北市,北投老爺酒店,74.06,75.24087025696076,1.180870256960759,1.180870256960759
2026-02-01,2026,2,台北市,北投老爺酒店,80.57,75.40436076608745,-5.165639233912543,5.165639233912543
2026-03-01,2026,3,台北市,北投老爺酒店,86.65,84.22562911100977,-2.4243708889902393,2.4243708889902393
2026-04-01,2026,4,台北市,北投老爺酒店,76.4,80.87337768792011,4.473377687920106,4.473377687920106
2026-05-01,2026,5,台北市,北投老爺酒店,66.19,74.93195659332332,8.741956593323323,8.741956593323323
2026-06-01,2026,6,台北市,北投老爺酒店,68.07,65.70617412346614,-2.363825876533852,2.363825876533852
2026-01-01,2026,1,台北市,北投麗禧溫泉酒店,78.4,72.8509691189984,-5.549030881001599,5.549030881001599
2026-02-01,2026,2,台北市,北投麗禧溫泉酒店,79.27,75.8715736632781,-3.398426336721897,3.398426336721897
2026-03-01,2026,3,台北市,北投麗禧溫泉酒店,64.86,75.32336542807185,10.463365428071853,10.463365428071853
2026-04-01,2026,4,台北市,北投麗禧溫泉酒店,57.02,63.28215236893415,6.262152368934146,6.262152368934146
2026-05-01,2026,5,台北市,北投麗禧溫泉酒店,53.52,55.22403526867896,1.7040352686789575,1.7040352686789575
2026-06-01,2026,6,台北市,北投麗禧溫泉酒店,45.76,49.62112261551459,3.8611226155145886,3.8611226155145886
2026-01-01,2026,1,桃園市,南方莊園渡假飯店,42.98,45.36863655055613,2.3886365505561358,2.3886365505561358
2026-02-01,2026,2,桃園市,南方莊園渡假飯店,47.1,45.562261378634076,-1.537738621365925,1.537738621365925
2026-03-01,2026,3,桃園市,南方莊園渡假飯店,34.79,42.47238837097196,7.682388370971964,7.682388370971964
2026-04-01,2026,4,桃園市,南方莊園渡假飯店,36.97,39.350427282041444,2.3804272820414454,2.3804272820414454
2026-05-01,2026,5,桃園市,南方莊園渡假飯店,29.469999999999995,37.54557465236934,8.075574652369344,8.075574652369344
2026-06-01,2026,6,桃園市,南方莊園渡假飯店,35.89,34.72261057872334,-1.1673894212766598,1.1673894212766598
2026-01-01,2026,1,桃園市,古華花園飯店,92.79,87.3466591738999,-5.443340826100112,5.443340826100112
2026-02-01,2026,2,桃園市,古華花園飯店,88.14,87.75206319501301,-0.38793680498699246,0.38793680498699246
