feature,mae_increase,mae_increase_std
occupancy_lag_1,7.52968418704512,0.176746363383867
occupancy_roll3,3.4029477074489547,0.17077407592172578
occupancy_lag_12,1.5356473986316033,0.0718556350534239
month,0.7073623855953455,0.05259427626979412
city,0.26676230649658894,0.0329117882857402
month_sin,0.23315225320053645,0.018755158631246868
input_total_rooms,0.14864326196048716,0.015797893734886218
input_domestic_ratio,0.12888951967733941,0.012195039361602855
occupancy_lag_2,0.09278949158165584,0.019788449446947638
input_avg_price,0.09028370825854704,0.009150020098023267
input_international_ratio,0.08403257230381966,0.008993939961717946
month_cos,0.08237738471677647,0.013317043788497608
input_individual_ratio,0.06594981461618454,0.011613421716889356
star_rating,0.050281085302828266,0.019499703404757457
input_employees,0.04657006502748384,0.00868464908347818
occupancy_lag_3,0.03138644456864004,0.011316750975336319
